Simple Name,Kaggle19,Kaggle20,Kaggle21,Kaggle22
FirstLangRec,What programming language would you recommend an aspiring data scientist to learn first? ,What programming language would you recommend an aspiring data scientist to learn first? ,What programming language would you recommend an aspiring data scientist to learn first? ,What products or platforms did you find to be most helpful when you first started studying data science?  
PrimaryLang,What programming languages do you use on a regular basis? ,What programming languages do you use on a regular basis? ,What programming languages do you use on a regular basis? ,What programming languages do you use on a regular basis? 
CompVisMethods,Which categories of computer vision methods do you use on a regular basis?  ,Which categories of computer vision methods do you use on a regular basis?  ,Which categories of computer vision methods do you use on a regular basis?  ,Which categories of computer vision methods do you use on a regular basis?  
MLAlgorithms,Which of the following ML algorithms do you use on a regular basis? ,Which of the following ML algorithms do you use on a regular basis? ,Which of the following ML algorithms do you use on a regular basis? ,Which of the following ML algorithms do you use on a regular basis? 
AutoMLTools,Which automated machine learning tools (or partial AutoML tools) do you use on a regular basis?  ,Which of the following automated machine learning tools (or partial AutoML tools) do you use on a regular basis?  ,Which of the following automated machine learning tools (or partial AutoML tools) do you use on a regular basis?  ,Do you use any of the following automated machine learning tools?  
BigDataProds,Which specific big data / analytics products do you use on a regular basis? ,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis? ","Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis? ","Do you use any of the following data products (relational databases, data warehouses, data lakes, or similar)? "
CloudPlatforms,Which of the following cloud computing platforms do you use on a regular basis? ,Which of the following cloud computing platforms do you use on a regular basis? ,Which of the following cloud computing platforms do you use on a regular basis? ,Which of the following cloud computing platforms do you use? 
HostedNotebookProds,Which of the following hosted notebook products do you use on a regular basis?  ,Which of the following hosted notebook products do you use on a regular basis?  ,Which of the following hosted notebook products do you use on a regular basis?  ,Do you use any of the following hosted notebook products?  
IDEs,Which of the following integrated development environments (IDE's) do you use on a regular basis?  ,Which of the following integrated development environments (IDE's) do you use on a regular basis?  ,Which of the following integrated development environments (IDE's) do you use on a regular basis?  ,Which of the following integrated development environments (IDE's) do you use on a regular basis?  
MLFrameworks,Which of the following machine learning frameworks do you use on a regular basis? ,Which of the following machine learning frameworks do you use on a regular basis? ,Which of the following machine learning frameworks do you use on a regular basis? ,Which of the following machine learning frameworks do you use on a regular basis? 
NLPMethods,Which of the following natural language processing (NLP) methods do you use on a regular basis?  ,Which of the following natural language processing (NLP) methods do you use on a regular basis?  ,Which of the following natural language processing (NLP) methods do you use on a regular basis?  ,Which of the following natural language processing (NLP) methods do you use on a regular basis?  
Hardware,Which types of specialized hardware do you use on a regular basis?  ,Which types of specialized hardware do you use on a regular basis?  ,Which types of specialized hardware do you use on a regular basis?  ,Do you use any of the following types of specialized hardware when training machine learning models?  
MediaSources,Who/what are your favorite media sources that report on data science topics? ,Who/what are your favorite media sources that report on data science topics? ,Who/what are your favorite media sources that report on data science topics? ,Who/what are your favorite media sources that report on data science topics? 
